part_id,robot_id,condition,alignment,gt_bbox_diagonal_mm,voxel_pitch_mm,voxel_iou,chamfer_mm,normalized_chamfer,hd95_mm,normalized_hd95,bbox_error_x_mm,bbox_error_y_mm,bbox_error_z_mm,centroid_error_mm,silhouette_iou_front,silhouette_iou_side,silhouette_iou_top,silhouette_iou_mean,cad_valid,editability_pass,gate_status,failed_criteria
R01_P00,R01,T1,rigid_shape_only_no_scale,230.6715419490155,3.6042428429533673,0.29758344299557365,15.228984523846421,0.06602021382946505,76.77352512034298,0.33282616690233924,11.477116410970552,85.13575403194916,40.965945066163755,26.85369594503871,0.5055661375661376,0.46612999249346415,0.5998000578779827,0.5238320626458615,True,True,LOCAL_REPAIR,iou;normalized_hd95
R01_P00,R01,T0,rigid_shape_only_no_scale,230.6715419490155,3.6042428429533673,0.28425406203840475,14.298296505034012,0.06198552445708414,63.33993535440486,0.27458929185293546,19.45579166131958,56.38455494260265,40.27755704732783,21.39058797741573,0.5277035023889888,0.470414345744161,0.5717211042572555,0.5232796507968018,True,True,LOCAL_REPAIR,iou;normalized_hd95
R01_P01,R01,T1,rigid_shape_only_no_scale,81.8139854523214,1.278343522692522,0.32617496919556416,8.531824736959555,0.1042832064687966,21.920604779731814,0.2679322448178062,26.55534273144258,7.681142564531747,37.803066036380244,2.2750522637474835,0.5891919486581096,0.4679435250549705,0.36588867741827774,0.4743413837104526,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95
R01_P01,R01,T0,rigid_shape_only_no_scale,81.8139854523214,1.278343522692522,0.3204187307606059,8.666708485028813,0.10593187017003952,21.43617560426156,0.2620111400972378,27.458226811264197,7.995895615339144,38.06770028240658,2.490663378617108,0.5863591847293826,0.4628083491461101,0.3649834507341085,0.4713836615365337,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95;mfr
R01_P02,R01,T1,rigid_shape_only_no_scale,138.90822266311753,2.1704409791112114,0.17967918503877148,8.545078961679623,0.061516005300876156,24.248443275989864,0.17456449165574295,35.79530899544122,31.606816176950986,57.20785602448649,7.5668797852707925,0.42433732752360204,0.4721437222446508,0.18531618235633573,0.36059907737486285,True,True,LOCAL_REPAIR,iou
R01_P02,R01,T0,rigid_shape_only_no_scale,138.90822266311753,2.1704409791112114,0.1795755764958247,8.454386510453597,0.06086311053707247,23.63981090752408,0.17018294852750174,35.609782796458816,18.56148138020326,51.47565798945078,7.4146403221773065,0.4103409090909091,0.43381854565406835,0.1878861012553356,0.34401518533343767,True,True,LOCAL_REPAIR,iou;mfr
R01_P03,R01,T1,rigid_shape_only_no_scale,125.70242565772156,1.9641004009018994,0.14111003915782305,8.178137312573398,0.06505950278829035,25.14352945659541,0.2000242185068042,26.54450865177182,53.887488802327,34.865903129156806,15.085189340812661,0.2834820688053611,0.46313266600874103,0.4242187160429435,0.3902778169523485,True,True,REPLAN,iou;normalized_hd95
R01_P03,R01,T0,rigid_shape_only_no_scale,125.70242565772156,1.9641004009018994,0.3563076392679633,8.36616834536794,0.06655534530533563,28.47606425608218,0.22653551916030962,25.951734579978904,61.10050280122772,31.740157458977507,6.427481405134195,0.5147781859282283,0.3230154767848228,0.3680276020701553,0.4019404215944021,True,True,LOCAL_REPAIR,normalized_hd95;mfr
R01_P04,R01,T1,rigid_shape_only_no_scale,176.50727000121694,2.7579260937690147,0.2524008350730689,10.438977865726837,0.05914191446989614,35.237677213560744,0.19963867331536994,7.918582930924202,26.52872646163479,45.41648784658956,13.869955316144544,0.3849035399887619,0.3752717260035747,0.4063247204010798,0.38883332879780547,True,True,LOCAL_REPAIR,iou;normalized_hd95
R01_P04,R01,T0,rigid_shape_only_no_scale,176.50727000121694,2.7579260937690147,0.23831642132342432,10.69232070801796,0.06057722556098817,34.172650840253546,0.19360477809224483,3.653267103664348,25.2827580350924,46.809420932852134,13.94106374641545,0.38402300687010704,0.3760432007854688,0.3945611674601532,0.384875791705243,True,True,LOCAL_REPAIR,iou;normalized_hd95;mfr;critical_feature_recall
R02_P00,R02,T1,rigid_shape_only_no_scale,370.79342930332564,5.793647332864463,0.30107441305212895,16.332647662595623,0.04404783464820997,67.66056415503355,0.18247508938375545,51.743113517891885,106.76366915896244,43.518205772567995,10.421629658376686,0.49166163519393724,0.5193430924509397,0.6327526498058558,0.5479191258169109,True,True,LOCAL_REPAIR,iou;normalized_hd95
R02_P01,R02,T1,rigid_shape_only_no_scale,185.49621737703,2.898378396516094,0.31952056144777824,10.474132401413751,0.05646547702977992,34.99002846239034,0.18862933679812685,2.951341371457488,2.6684779148012296,44.416455644162255,20.76149015025811,0.9683329563447184,0.3736309033093864,0.5073992443324937,0.6164543679955329,True,True,LOCAL_REPAIR,iou;normalized_hd95
R02_P02,R02,T1,rigid_shape_only_no_scale,352.5552374481626,5.50867558512754,0.31139366741460983,10.730789442645843,0.03043718629828504,37.419276007535885,0.10613734255766877,15.205084793899474,2.5063310595246975,24.837382865478048,8.828785566070255,0.679068493150685,0.5970950928044749,0.3855809408276048,0.5539148422609216,True,True,LOCAL_REPAIR,iou
R02_P03,R02,T1,rigid_shape_only_no_scale,227.73760052640742,3.558400008225116,0.13485492653091669,19.83345543435319,0.08708906824568652,54.52087986905962,0.23940218805781976,34.68086189547546,109.27714303656336,33.837364934127436,22.46061953034896,0.34272203339736956,0.30101204274325777,0.37201910521613635,0.3385843937855879,True,True,REPLAN,iou;normalized_chamfer;normalized_hd95
R02_P04,R02,T1,rigid_shape_only_no_scale,146.40451581307534,2.287570559579302,0.1929441563140755,18.192086808438916,0.12425905517604387,74.94002314441636,0.5118696150062572,80.64474878294317,154.03776822403916,42.46767670629879,4.315795420920561,0.3426643842513342,0.2800482918976927,0.2987502849681872,0.3071543203724047,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95
R02_P05,R02,T1,rigid_shape_only_no_scale,108.37005458009209,1.6932821028139389,0.09236323180492013,20.834532470958603,0.1922535939627179,63.653560407574844,0.5873722280035485,88.39675988202708,132.23995481688166,63.22756508285471,9.81975330229954,0.15292859768117878,0.183830629586713,0.2316375444564713,0.1894655905747877,True,True,REPLAN,iou;normalized_chamfer;normalized_hd95
R02_P06,R02,T1,rigid_shape_only_no_scale,214.77659002565298,3.355884219150828,0.1358403048123913,14.061321967656667,0.06546952796846797,41.75264994076968,0.19440037639010252,28.59040607523282,88.76970617676511,36.133628368255756,13.003913966270012,0.27701292246520876,0.4836407578832167,0.48622330419386967,0.41562566151409835,True,True,REPLAN,iou;normalized_hd95
