backbone,method,case_id,run_status,simultaneous_success,api_calls,repair_iterations,input_tokens,output_tokens,total_tokens,max_total_output_tokens,max_total_model_tokens,max_repair_iterations,latency_seconds,error,failure_patterns,geometry_chamfer,geometry_hd95,geometry_hausdorff_max,geometry_voxel_iou,geometry_sample_count_per_robot,geometry_voxel_pitch_normalized,geometry_alignment_pred_normalized_to_gt_normalized,geometry_note,geometry_per_link,geometry_per_link_count,assembly_gt_link_count,assembly_pred_link_count,assembly_matched_parts,assembly_part_precision,assembly_part_recall,assembly_part_f1,assembly_gt_edge_count,assembly_pred_edge_count,assembly_matched_edges,assembly_assembly_graph_precision,assembly_assembly_graph_recall,assembly_assembly_graph_f1,assembly_pred_to_gt_link_mapping,kinematic_matched_joints,kinematic_joint_type_accuracy,kinematic_axis_error_degrees_median,kinematic_axis_error_degrees_mean,kinematic_joint_origin_error_normalized_median,kinematic_joint_origin_error_normalized_mean,motion_pose_fractions,motion_mapped_links,motion_end_effector_gt_link,motion_link_translation_error_normalized_median,motion_link_translation_error_normalized_mean,motion_link_rotation_error_degrees_median,motion_link_rotation_error_degrees_mean,motion_end_effector_translation_error_normalized_median,motion_end_effector_rotation_error_degrees_median
qwen3.7-plus,direct_frontier_mllm,case_01_arm-fdadfa8bdd,FAILURE,False,1,0,1446,3750,5196,32768,100000,1,65.32749339999282,BlueprintError: joints/6/axis must be non-zero,invalid_cad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3.7-plus,direct_frontier_mllm,case_02_arm-4c7b408826,SUCCESS,False,1,0,1449,16404,17853,32768,100000,1,280.56281489999674,,poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology;wrong_part_decomposition,0.006124532110183465,0.1807451883572702,0.254102584905318,0.22981366459627328,3000,0.05,"[[0.7944744616388544, 0.1646275825240622, 0.5845580286643394, -0.03781000326389677], [-0.1455041161511875, 0.9861208687341978, -0.07996364442652742, -0.0443211183120971], [-0.5896090925237808, -0.02152652594343932, 0.8074018371877103, 0.05669879381319855], [0.0, 0.0, 0.0, 1.0]]",hd95 is robust Hausdorff; hausdorff_max is also reported,"[{'chamfer': 0.0040362348004326955, 'hd95': 0.14008970178947766, 'hausdorff_max': 0.17871996513981006, 'gt_link': 'base_link', 'pred_link': 'base_link', 'gt_has_curved_surface': True, 'voxel_iou': 0.27522935779816515}, {'chamfer': 0.019468613178721103, 'hd95': 0.2422846060567028, 'hausdorff_max': 0.2656847132790379, 'gt_link': 'link_1', 'pred_link': 'link_1', 'gt_has_curved_surface': True, 'voxel_iou': 0.02824858757062147}, {'chamfer': 0.01250123537682597, 'hd95': 0.21333047804090938, 'hausdorff_max': 0.2546276341802046, 'gt_link': 'link_2', 'pred_link': 'link_2', 'gt_has_curved_surface': True, 'voxel_iou': 0.08888888888888889}, {'chamfer': 0.021006227789281403, 'hd95': 0.2278788933963816, 'hausdorff_max': 0.25704895701511754, 'gt_link': 'link_3', 'pred_link': 'link_3', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.01763249356161804, 'hd95': 0.263917196291106, 'hausdorff_max': 0.2943200632038425, 'gt_link': 'link_4', 'pred_link': 'link_4', 'gt_has_curved_surface': True, 'voxel_iou': 0.04}, {'chamfer': 0.02542149929347275, 'hd95': 0.214970711903248, 'hausdorff_max': 0.22296104144552564, 'gt_link': 'link_5', 'pred_link': 'link_5', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.04267164660210147, 'hd95': 0.23388301508246293, 'hausdorff_max': 0.24535385236524124, 'gt_link': 'link_6', 'pred_link': 'link_6', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}]",7,10,10,7,0.7,0.7,0.7,9,9,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{'base_link': 'base_link', 'link_1': 'link_1', 'link_2': 'link_2', 'link_3': 'link_3', 'link_4': 'link_4', 'link_5': 'link_5', 'link_6': 'link_6'}",6,0.6666666666666666,0.0,30.0,0.14777192429675942,0.16997054186660474,"[-0.75, -0.375, 0.0, 0.375, 0.75]",7,link_6,0.32103109171618105,0.3782928018498057,73.59774141975848,81.54570174242066,0.6038538314910521,77.12680339042291
qwen3.7-plus,direct_frontier_mllm,case_03_arm-43fa322555,SUCCESS,False,1,0,1443,5624,7067,32768,100000,1,97.09214020000945,,poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology;wrong_part_decomposition,0.005995104754859128,0.15430086523731623,0.23157312584722575,0.16701461377870563,3000,0.05,"[[0.9854840795996215, 0.12956944717804436, 0.10969451770103338, 0.018835326117089844], [-0.0801349242137163, 0.924658982816389, -0.3722689342642302, -0.03384561258684825], [-0.14966470117214814, 0.35807474618428364, 0.9216197444543561, -0.002888167516984673], [0.0, 0.0, 0.0, 1.0]]",hd95 is robust Hausdorff; hausdorff_max is also reported,"[{'chamfer': 0.0127092955045156, 'hd95': 0.21692460674030553, 'hausdorff_max': 0.29221355350451206, 'gt_link': 'fr3_link0', 'pred_link': 'base_link', 'gt_has_curved_surface': True, 'voxel_iou': 0.06504065040650407}, {'chamfer': 0.015882211299456873, 'hd95': 0.23944222744222032, 'hausdorff_max': 0.2683566772835621, 'gt_link': 'fr3_link1', 'pred_link': 'link_1', 'gt_has_curved_surface': True, 'voxel_iou': 0.07816711590296496}, {'chamfer': 0.018023632144392232, 'hd95': 0.28480523926694573, 'hausdorff_max': 0.37502523620264766, 'gt_link': 'fr3_link2', 'pred_link': 'link_2', 'gt_has_curved_surface': True, 'voxel_iou': 0.07932692307692307}, {'chamfer': 0.01000660895021671, 'hd95': 0.2177929146005853, 'hausdorff_max': 0.26870648372624845, 'gt_link': 'fr3_link3', 'pred_link': 'link_3', 'gt_has_curved_surface': True, 'voxel_iou': 0.09846153846153846}, {'chamfer': 0.013188422323420665, 'hd95': 0.2517708085960287, 'hausdorff_max': 0.30907041089455334, 'gt_link': 'fr3_link4', 'pred_link': 'link_4', 'gt_has_curved_surface': True, 'voxel_iou': 0.15810276679841898}, {'chamfer': 0.02089146656040186, 'hd95': 0.2280689351624069, 'hausdorff_max': 0.24594817083930154, 'gt_link': 'fr3_link5', 'pred_link': 'link_5', 'gt_has_curved_surface': True, 'voxel_iou': 0.02252252252252252}, {'chamfer': 0.05200629069697912, 'hd95': 0.3871947528539331, 'hausdorff_max': 0.4313886934453574, 'gt_link': 'fr3_link6', 'pred_link': 'link_6', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.024344018170058383, 'hd95': 0.2582576089961474, 'hausdorff_max': 0.2847031457173693, 'gt_link': 'fr3_link7', 'pred_link': 'link_7', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}]",8,17,17,8,0.47058823529411764,0.47058823529411764,0.47058823529411764,16,16,7,0.4375,0.4375,0.4375,"{'base_link': 'fr3_link0', 'link_1': 'fr3_link1', 'link_2': 'fr3_link2', 'link_3': 'fr3_link3', 'link_4': 'fr3_link4', 'link_5': 'fr3_link5', 'link_6': 'fr3_link6', 'link_7': 'fr3_link7'}",7,0.4375,90.0,64.28571428571429,0.1009042361631234,0.16393362886685603,"[-0.75, -0.375, 0.0, 0.375, 0.75]",8,fr3_link7,0.2778669876978404,0.31006370774223146,78.34437301106723,76.55079899768072,0.4722398936438658,60.3024823472134
qwen3.7-plus,direct_frontier_mllm,case_04_arm-dcc2b0ce1e,SUCCESS,False,1,0,1450,3457,4907,32768,100000,1,60.075567499996396,,poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology;wrong_part_decomposition,0.0018176888048433096,0.09368076539602185,0.13889256411410247,0.3978102189781022,3000,0.05,"[[0.2979207503261506, 0.04490108134158274, 0.953534015869103, -0.0018138567722723168], [-0.1622540356363316, 0.9867399544176128, 0.004229689782226818, 0.0024476433759370642], [-0.9407001937093591, -0.15597485454484694, 0.3012556892489941, 0.060114386101319424], [0.0, 0.0, 0.0, 1.0]]",hd95 is robust Hausdorff; hausdorff_max is also reported,"[{'chamfer': 0.003512910868764121, 'hd95': 0.13275131500474716, 'hausdorff_max': 0.15910943661346594, 'gt_link': 'base_link', 'pred_link': 'base_link', 'gt_has_curved_surface': True, 'voxel_iou': 0.2631578947368421}, {'chamfer': 0.0047214208574711996, 'hd95': 0.12713393748784008, 'hausdorff_max': 0.1411744854085087, 'gt_link': 'link_1', 'pred_link': 'link_1', 'gt_has_curved_surface': True, 'voxel_iou': 0.19101123595505617}, {'chamfer': 0.00458432781948899, 'hd95': 0.1141658134657564, 'hausdorff_max': 0.13955179036841897, 'gt_link': 'link_2', 'pred_link': 'link_2', 'gt_has_curved_surface': True, 'voxel_iou': 0.19548872180451127}, {'chamfer': 0.0023677961425679324, 'hd95': 0.10062064723847372, 'hausdorff_max': 0.11541558452279636, 'gt_link': 'link_3', 'pred_link': 'link_3', 'gt_has_curved_surface': True, 'voxel_iou': 0.3076923076923077}, {'chamfer': 0.0026636280978869263, 'hd95': 0.11345357687551179, 'hausdorff_max': 0.14390315019284286, 'gt_link': 'link_4', 'pred_link': 'link_4', 'gt_has_curved_surface': True, 'voxel_iou': 0.3389830508474576}, {'chamfer': 0.009705990209161651, 'hd95': 0.1293125725154679, 'hausdorff_max': 0.13978979827678978, 'gt_link': 'link_5', 'pred_link': 'link_5', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.009244238063895696, 'hd95': 0.13251479379609218, 'hausdorff_max': 0.1440427899702435, 'gt_link': 'link_6', 'pred_link': 'link_6', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}]",7,10,10,7,0.7,0.7,0.7,9,9,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{'base_link': 'base_link', 'link_1': 'link_1', 'link_2': 'link_2', 'link_3': 'link_3', 'link_4': 'link_4', 'link_5': 'link_5', 'link_6': 'link_6'}",6,0.6666666666666666,0.0,30.0,0.1518200738926405,0.23040182548770452,"[-0.75, -0.375, 0.0, 0.375, 0.75]",7,link_6,0.34133430202263737,0.40834157215669337,116.80657565015987,109.71619629989611,0.5570766301214667,109.26066642415388
qwen3.7-plus,direct_frontier_mllm,case_05_arm-ab15a75247,SUCCESS,False,1,0,1441,2771,4212,32768,100000,1,48.77197580000211,,poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_motion,0.008104356776196081,0.21435941978504394,0.3282052318795724,0.2303206997084548,3000,0.05,"[[0.6423099681135701, 0.03452819857269809, 0.7656668390137221, -0.02774250533465444], [-0.061390689985805665, 0.9980927098574216, 0.006490432384057497, 0.002520948704752818], [-0.7639823872609909, -0.05117368496394868, 0.6432046065772564, 0.08398264559105739], [0.0, 0.0, 0.0, 1.0]]",hd95 is robust Hausdorff; hausdorff_max is also reported,"[{'chamfer': 0.005198506314564038, 'hd95': 0.13452402677147057, 'hausdorff_max': 0.15472517295821886, 'gt_link': 'base', 'pred_link': 'base_link', 'gt_has_curved_surface': True, 'voxel_iou': 0.2543859649122807}, {'chamfer': 0.0011073441133888928, 'hd95': 0.07321836627578922, 'hausdorff_max': 0.09985328564023667, 'gt_link': 'link1', 'pred_link': 'link_1', 'gt_has_curved_surface': True, 'voxel_iou': 0.3835616438356164}, {'chamfer': 0.027120094236829324, 'hd95': 0.30534145176468824, 'hausdorff_max': 0.3370448078127112, 'gt_link': 'link2', 'pred_link': 'link_2', 'gt_has_curved_surface': True, 'voxel_iou': 0.00909090909090909}, {'chamfer': 0.033189870019842665, 'hd95': 0.404028737438133, 'hausdorff_max': 0.44989221625140413, 'gt_link': 'link3', 'pred_link': 'link_3', 'gt_has_curved_surface': True, 'voxel_iou': 0.1643835616438356}, {'chamfer': 0.009016630816800372, 'hd95': 0.1407000499213884, 'hausdorff_max': 0.17725779315786763, 'gt_link': 'link4', 'pred_link': 'link_4', 'gt_has_curved_surface': True, 'voxel_iou': 0.017543859649122806}]",5,5,5,5,1.0,1.0,1.0,4,4,4,1.0,1.0,1.0,"{'base_link': 'base', 'link_1': 'link1', 'link_2': 'link2', 'link_3': 'link3', 'link_4': 'link4'}",4,1.0,90.0,67.5,0.3514136141194589,0.3468620326719394,"[-0.75, -0.375, 0.0, 0.375, 0.75]",5,link4,0.10493944789201899,0.22928978448319232,121.70052842015798,137.75371600613408,0.5677314119782797,165.3704396380498
qwen3.7-plus,direct_frontier_mllm,case_06_arm-42e898b1a2,SUCCESS,False,1,0,1445,3115,4560,32768,100000,1,54.31480900000315,,poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_motion,0.0064605340766767765,0.2014366027855913,0.3706717139705377,0.384321223709369,3000,0.05,"[[0.99917283164172, 0.04046520981770944, 0.004027319639997063, -0.1259671880858545], [-0.004201063761835891, 0.2012221339758644, -0.9795366271158386, 0.011150614992858557], [-0.040447540992538514, 0.9787094663855112, 0.20122568632023294, 0.0020799815044259783], [0.0, 0.0, 0.0, 1.0]]",hd95 is robust Hausdorff; hausdorff_max is also reported,"[{'chamfer': 0.004706676784756321, 'hd95': 0.13779448182173482, 'hausdorff_max': 0.1709561156852381, 'gt_link': 'meca_base_link', 'pred_link': 'base_link', 'gt_has_curved_surface': True, 'voxel_iou': 0.17435897435897435}, {'chamfer': 0.022677376984353934, 'hd95': 0.2242084930414915, 'hausdorff_max': 0.25076331950743497, 'gt_link': 'meca_axis_1_link', 'pred_link': 'link_1', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.024256952614932034, 'hd95': 0.3001907051265747, 'hausdorff_max': 0.36653728028182203, 'gt_link': 'meca_axis_2_link', 'pred_link': 'link_2', 'gt_has_curved_surface': True, 'voxel_iou': 0.10328638497652583}, {'chamfer': 0.015245928829375397, 'hd95': 0.19826184541277211, 'hausdorff_max': 0.22596524822048808, 'gt_link': 'meca_axis_3_link', 'pred_link': 'link_3', 'gt_has_curved_surface': True, 'voxel_iou': 0.192}, {'chamfer': 0.02726417420678053, 'hd95': 0.23564120983518289, 'hausdorff_max': 0.2674799488006168, 'gt_link': 'meca_axis_4_link', 'pred_link': 'link_4', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.06434048132714917, 'hd95': 0.35195177974436925, 'hausdorff_max': 0.37775237312899357, 'gt_link': 'meca_axis_5_link', 'pred_link': 'link_5', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.16101306532856138, 'hd95': 0.45032541108450824, 'hausdorff_max': 0.45993393978655167, 'gt_link': 'meca_axis_6_link', 'pred_link': 'link_6', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}]",7,7,7,7,1.0,1.0,1.0,6,6,6,1.0,1.0,1.0,"{'base_link': 'meca_base_link', 'link_1': 'meca_axis_1_link', 'link_2': 'meca_axis_2_link', 'link_3': 'meca_axis_3_link', 'link_4': 'meca_axis_4_link', 'link_5': 'meca_axis_5_link', 'link_6': 'meca_axis_6_link'}",6,1.0,45.0,45.0,0.2224815087201245,0.22817730964725014,"[-0.75, -0.375, 0.0, 0.375, 0.75]",7,meca_axis_6_link,0.5339382682292713,0.5120306644895329,32.61884876591046,55.69196663450177,0.920032815941847,125.39562679987588
qwen3.7-plus,direct_frontier_mllm,case_07_arm-10f5f05385,SUCCESS,False,1,0,1439,3586,5025,32768,100000,1,62.3367345000006,,poor_curved_geometry;poor_geometry;wrong_joint_axis;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology;wrong_part_decomposition,0.0057895269373624166,0.17076301904089022,0.33305795958797374,0.325,3000,0.05,"[[0.9978333117218113, 0.04119381493803192, -0.051300600670330015, -0.06723399642835678], [-0.04090621947243645, 0.9991409007640107, 0.006643916687873695, -4.0163375819451366e-05], [0.05153021663799182, -0.004531007761378412, 0.9986611571208265, 0.05243355252512949], [0.0, 0.0, 0.0, 1.0]]",hd95 is robust Hausdorff; hausdorff_max is also reported,"[{'chamfer': 0.0026634913497528574, 'hd95': 0.1171885869370757, 'hausdorff_max': 0.13644908270809689, 'gt_link': 'base_link', 'pred_link': 'base_link', 'gt_has_curved_surface': True, 'voxel_iou': 0.23113207547169812}, {'chamfer': 0.008370947895024503, 'hd95': 0.1932332209795814, 'hausdorff_max': 0.21413097423880087, 'gt_link': 'YAW', 'pred_link': 'link_2', 'gt_has_curved_surface': True, 'voxel_iou': 0.2876712328767123}, {'chamfer': 0.0037708718759938763, 'hd95': 0.16858397680811552, 'hausdorff_max': 0.23501798603583288, 'gt_link': 'BICEP', 'pred_link': 'link_3', 'gt_has_curved_surface': True, 'voxel_iou': 0.3368421052631579}, {'chamfer': 0.0367034434057285, 'hd95': 0.3081340156884663, 'hausdorff_max': 0.3296331433807701, 'gt_link': 'FOREARM', 'pred_link': 'link_4', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}, {'chamfer': 0.14702449228727008, 'hd95': 0.4147425289031849, 'hausdorff_max': 0.4325850596628018, 'gt_link': 'END-EFFECTOR', 'pred_link': 'link_5', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}]",5,6,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,5,3,0.6,0.6,0.6,"{'base_link': 'base_link', 'link_2': 'YAW', 'link_3': 'BICEP', 'link_4': 'FOREARM', 'link_5': 'END-EFFECTOR'}",3,0.4,90.0,90.0,0.3389000191035387,0.3029677703684733,"[-0.75, -0.375, 0.0, 0.375, 0.75]",5,END-EFFECTOR,0.14714886305742608,0.19879667067474988,92.664786571387,78.37056592885455,0.3815268512681237,150.22885991266705
qwen3.7-plus,direct_frontier_mllm,case_08_arm-d55f01b988,FAILURE,False,1,0,1441,13473,14914,32768,100000,1,230.91193560000102,"BlueprintError: expected 6 actuated DOF, got 8",invalid_cad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3.7-plus,direct_frontier_mllm,case_09_arm-551a9c392e,FAILURE,False,1,0,1442,8762,10204,32768,100000,1,150.54594919999363,"BlueprintError: expected 21 links, got 22",invalid_cad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3.7-plus,direct_frontier_mllm,case_10_arm-21b8992ec4,FAILURE,False,1,0,1444,6324,7768,32768,100000,1,109.33610829999088,BlueprintError: joints/7/axis must be non-zero,invalid_cad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3.7-plus,cadir_simplecad,case_01_arm-fdadfa8bdd,SUCCESS,False,2,1,3232,8587,11819,32768,100000,1,151.25618280000344,,poor_curved_geometry;poor_geometry;wrong_joint_origin;wrong_joint_type;wrong_motion;wrong_topology;wrong_part_decomposition,0.004675898394463054,0.13317894470650896,0.18854546100955266,0.20581113801452786,3000,0.05,"[[0.7290403172562404, 0.21178987388454007, 0.6508803769779014, -0.08380083733340536], [0.5627920459559592, 0.3557457096372223, -0.7461300845585959, -0.013762711637428067], [-0.3895706981070721, 0.9102692125930012, 0.14015930858023157, 0.0754420264884341], [0.0, 0.0, 0.0, 1.0]]",hd95 is robust Hausdorff; hausdorff_max is also reported,"[{'chamfer': 0.004989352190011313, 'hd95': 0.12480390495276243, 'hausdorff_max': 0.1370978493796211, 'gt_link': 'base_link', 'pred_link': 'base_link', 'gt_has_curved_surface': True, 'voxel_iou': 0.14444444444444443}, {'chamfer': 0.006132807281983447, 'hd95': 0.1304919337583528, 'hausdorff_max': 0.15348322155593913, 'gt_link': 'link_1', 'pred_link': 'link_1', 'gt_has_curved_surface': True, 'voxel_iou': 0.13253012048192772}, {'chamfer': 0.004777431976496199, 'hd95': 0.14355667243311687, 'hausdorff_max': 0.18318384978796384, 'gt_link': 'link_2', 'pred_link': 'link_2', 'gt_has_curved_surface': True, 'voxel_iou': 0.224}, {'chamfer': 0.006351108603179607, 'hd95': 0.12117527151758861, 'hausdorff_max': 0.14925520776817588, 'gt_link': 'link_3', 'pred_link': 'link_3', 'gt_has_curved_surface': True, 'voxel_iou': 0.09433962264150944}, {'chamfer': 0.004207418487565204, 'hd95': 0.14719401901259033, 'hausdorff_max': 0.1857740745676635, 'gt_link': 'link_4', 'pred_link': 'link_4', 'gt_has_curved_surface': True, 'voxel_iou': 0.25806451612903225}, {'chamfer': 0.0076224089900148095, 'hd95': 0.15352954237376346, 'hausdorff_max': 0.1818403859905706, 'gt_link': 'link_5', 'pred_link': 'link_5', 'gt_has_curved_surface': True, 'voxel_iou': 0.08955223880597014}, {'chamfer': 0.02752522458298253, 'hd95': 0.19029233474669965, 'hausdorff_max': 0.20072491554285943, 'gt_link': 'link_6', 'pred_link': 'link_6', 'gt_has_curved_surface': True, 'voxel_iou': 0.0}]",7,10,10,7,0.7,0.7,0.7,9,9,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{'base_link': 'base_link', 'link_1': 'link_1', 'link_2': 'link_2', 'link_3': 'link_3', 'link_4': 'link_4', 'link_5': 'link_5', 'link_6': 'link_6'}",6,0.6666666666666666,0.0,30.0,0.1890517155496188,0.2453948206812986,"[-0.75, -0.375, 0.0, 0.375, 0.75]",7,link_6,0.5048623835070338,0.4720579409591796,70.00000000000001,60.77383616350798,0.7427280269409379,82.79916398667484
