joint_id,condition,sample_index,q_rad,q_deg,aabb_overlap,exact_pair_common_mm3,expected_interface_common_mm3,unintended_common_mm3,nonadjacent_common_mm3,minimum_clearance_mm,classifications,formal_collision_free
J03,M1,3,-0.687223392972767,-39.374999999999986,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M1,4,-0.200712863979348,-11.500000000000007,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M1,5,0.0,0.0,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M1,6,0.285797665014071,16.374999999999975,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M1,7,0.772308194007491,44.25000000000001,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M1,8,1.25881872300091,72.12499999999999,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M1,9,1.74532925199433,100.00000000000003,True,137.61104761718437,0.0,137.61104761718437,139.73608045665694,0.0,"['MOTION_INDUCED_COLLISION', 'NONADJACENT_COLLISION']",False
J01,M2,0,-1.937315469713706,-111.00000000000001,True,0.0,0.0,0.0,0.0,0.5999999999999943,['CLEAR'],True
J01,M2,1,-1.461713248545251,-83.75,True,0.0,0.0,0.0,0.0,0.5999999999999908,['CLEAR'],True
J01,M2,2,-0.986111027376796,-56.49999999999999,True,0.0,0.0,0.0,0.0,0.5999999999999915,['CLEAR'],True
J01,M2,3,-0.510508806208341,-29.249999999999982,True,0.0,0.0,0.0,0.0,0.5999999999999933,['CLEAR'],True
J01,M2,4,-0.034906585039887,-2.0000000000000235,True,0.0,0.0,0.0,0.0,0.599999999999993,['CLEAR'],True
J01,M2,5,0.0,0.0,True,0.0,0.0,0.0,0.0,0.5999999999999893,['CLEAR'],True
J01,M2,6,0.440695636128568,25.24999999999999,True,0.0,0.0,0.0,0.0,0.5999999999999943,['CLEAR'],True
J01,M2,7,0.916297857297023,52.5,True,0.0,0.0,0.0,0.0,0.5999999999999943,['CLEAR'],True
J01,M2,8,1.391900078465478,79.75000000000001,True,0.0,0.0,0.0,0.0,0.5999999999999943,['CLEAR'],True
J01,M2,9,1.867502299633933,107.00000000000003,True,0.0,0.0,0.0,0.0,0.5999999999999943,['CLEAR'],True
J02,M2,0,-1.605702911834783,-91.99999999999999,True,0.0,0.0,0.0,0.0,0.5999999999999822,['CLEAR'],True
J02,M2,1,-1.141008998491293,-65.375,True,0.0,0.0,0.0,0.0,0.5999999999999837,['CLEAR'],True
J02,M2,2,-0.676315085147803,-38.75000000000002,True,0.0,0.0,0.0,0.0,0.599999999999989,['CLEAR'],True
J02,M2,3,-0.211621171804312,-12.124999999999973,True,0.0,0.0,0.0,0.0,0.5999999999999786,['CLEAR'],True
J02,M2,4,0.0,0.0,True,0.0,0.0,0.0,0.0,0.5999999999999855,['CLEAR'],True
J02,M2,5,0.253072741539178,14.500000000000014,True,0.0,0.0,0.0,0.0,0.5999999999999942,['CLEAR'],True
J02,M2,6,0.717766654882668,41.125,True,0.0,0.0,0.0,0.0,0.5999999999999865,['CLEAR'],True
J02,M2,7,1.182460568226158,67.74999999999999,True,0.0,0.0,0.0,0.0,0.5999999999999943,['CLEAR'],True
J02,M2,8,1.647154481569649,94.37500000000003,True,0.0,0.0,0.0,0.0,0.5999999999999821,['CLEAR'],True
J02,M2,9,2.111848394913139,121.0,True,0.0,0.0,0.0,0.0,0.5999999999999857,['CLEAR'],True
J03,M2,0,-2.146754979953025,-122.99999999999999,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,1,-1.660244450959606,-95.125,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,2,-1.173733921966187,-67.25000000000003,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,3,-0.687223392972767,-39.374999999999986,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,4,-0.200712863979348,-11.500000000000007,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,5,0.0,0.0,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,6,0.285797665014071,16.374999999999975,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,7,0.772308194007491,44.25000000000001,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,8,1.25881872300091,72.12499999999999,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
J03,M2,9,1.74532925199433,100.00000000000003,True,0.0,0.0,0.0,0.0,0.20000000000000018,['CLEAR'],True
